"Points:0","Points:1","Points:2","U:0","U:1","U:2","alpha.water"
417.42,1137.5,143.82,0,0,0,0.5
417.61,1136,143.87,0,0,0,0.5
417.61,1137.5,144.11,0.21662,-0.15009,-0.32388,0.5
415.06,1142.8,143.89,-1.8394,-0.99043,-0.47407,0.5
417.61,1140,143.87,-2.0658,-1.1123,-0.53241,0.5
417.98,1140,144.06,0.2886,-0.049433,-0.2715,0.5
415.07,1143.1,144.03,0.036265,0.18464,-0.26632,0.5
417.51,1142.5,144.49,0.40546,0.30891,-0.28418,0.5
412.14,1145.3,143.83,0,0,0,0.5
412.61,1145.2,144.36,-0.2152,0.57166,-0.34514,0.5
412.61,1146,144.54,-3.4858,-1.7159,-0.38085,0.5
411.94,1192,144.18,0,0,0,0.5
412.37,1191.5,144.5,0,0,0,0.5
412.34,1192.3,144.76,-1.7234,0.20961,-1.0102,0.5
415.02,1189.9,146.9,-10.502,3.0093,-4.046,0.5
415.28,1192.4,146.77,-11.622,2.922,-3.7965,0.5
415.01,1192.4,146.54,-10.304,2.5785,-3.3464,0.5
415.18,1189.9,147.02,-10.974,3.1443,-4.2276,0.5
405.45,1197.4,144.54,0,0,0,0.5
406.88,1195.4,143.68,0,0,0,0.5
407.15,1195.5,143.77,-1.266,0.1111,0.34665,0.5
407.27,1197.6,144.93,-8.9756,1.8584,2.0447,0.5
410.84,1197.4,144.93,-13.589,3.5709,-1.2167,0.5
412.54,1194.8,145.57,-8.852,1.781,-3.2888,0.5
412.54,1195.5,145.67,-12.121,2.8655,-3.9924,0.5
409.74,1197.6,144.61,-12.689,3.3594,0.23169,0.5
409.84,1194.8,144.48,-12.639,2.2064,-2.6312,0.5
596.62,1052.3,153.74,-2.8525,-0.13408,0.91149,0.5
594.64,1052.2,154.12,-2.3207,-0.52169,-0.064332,0.5
594.64,1051.4,153.92,0.10388,-0.65726,-0.10917,0.5
596.41,1050.5,153.34,0.70471,0.031892,-0.57395,0.5
516.97,1057.4,150.63,0.072134,-0.71021,-1.9811,0.5
513.74,1057.6,150.46,0.30801,-0.73619,-0.72761,0.5
513.81,1056.3,149.43,0,0,0,0.5
517.02,1056.4,150.49,0.046592,-1.9626,1.4645,0.5
556.92,1054.8,154.5,-0.0588,-0.064667,-0.012677,0.5
557.98,1054.9,154.37,-0.036304,-0.053335,0.0030179,0.5
557.81,1057.2,155.01,-0.22611,-0.17464,0.0032263,0.5
555.48,1054.9,154.72,-0.12343,-0.10484,-0.049258,0.5
555.28,1057.4,155.28,-0.41907,-0.21733,-0.10558,0.5
561.14,1054.1,154.66,-0.044164,-0.062902,0.0041098,0.5
562.95,1054.6,154.37,-0.042357,-0.068998,0.007067,0.5
560.5,1057,154.74,-0.084613,-0.094739,0.0081026,0.5
562.88,1057.2,154.63,-0.076654,-0.1004,0.013025,0.5
564.89,1054.8,154.49,-0.03314,-0.070535,0.007726,0.5
567.12,1054.9,154.75,-0.020815,-0.069084,0.0087038,0.5
564.98,1057.4,154.56,-0.063229,-0.10607,0.015338,0.5
567.22,1057.6,154.76,-0.043637,-0.10935,0.018616,0.5
570,1055,155.12,-0.012916,-0.06922,0.01045,0.5
572.91,1055.1,154.79,-0.0059212,-0.064456,0.011999,0.5
570.02,1057.7,154.97,-0.027821,-0.11591,0.02236,0.5
