"Points:0","Points:1","Points:2","U:0","U:1","U:2","alpha.water"
422.52,1112.5,141.96,-8.2187,-5.5358,-1.5055,0.5
420,1112.5,140.84,-1.2614,-0.99084,-0.13951,0.5
420,1112.2,140.91,-1.319,-1.0052,0.049858,0.5
422.43,1110.4,142.68,-10.436,-7.6675,-0.55828,0.5
427.42,1109.9,142.45,-11.876,-9.0344,-1.3576,0.5
427.54,1111.8,142.89,-11.226,-8.1021,-3.1444,0.5
425.11,1112.6,142.53,-11.936,-7.7332,-2.722,0.5
425,1109.9,142.94,-12.492,-9.2109,-1.1091,0.5
425.04,1112.6,142.52,-11.798,-7.6266,-2.6605,0.5
424.93,1109.9,142.95,-12.47,-9.1875,-1.1014,0.5
430.15,1110.1,142.24,-11.007,-8.2786,-3.8115,0.5
430.09,1110.1,142.18,-10.342,-7.817,-3.5742,0.5
432.47,1110.4,141.49,-2.7656,-1.8006,-1.0094,0.5
431.71,1110,141.26,0,0,0,0.5
415.02,1116.4,142.47,-11.522,-7.899,-0.78495,0.5
417.53,1115,142.08,-8.8551,-6.2137,-1.6846,0.5
417.81,1116.1,142.19,-8.2703,-5.8033,-1.5733,0.5
415.11,1115,141.59,-4.8626,-3.6644,-0.13271,0.5
435.06,1112.2,144.81,-10.539,-9.3316,-7.1332,0.5
437.99,1111.7,144.78,-3.5749,-3.6021,-2.4867,0.5
437.95,1112.6,145.25,-3.4449,-3.5771,-2.9027,0.5
435.12,1112.6,144.86,-10.276,-9.3854,-7.1084,0.5
481.09,1109.1,150.8,-5.0035,-8.2688,-0.88444,0.5
480.72,1109.5,151,-5.4381,-8.7861,-1.251,0.5
480.09,1109.2,150.87,-5.3789,-8.8014,-1.2462,0.5
427.58,1117.6,144.63,-11.841,-8.6718,-6.0137,0.5
427.58,1117.6,144.65,-11.802,-8.6383,-6.0344,0.5
427.45,1117.6,144.62,-11.846,-8.6618,-6.0073,0.5
430.17,1115.5,144.59,-10.085,-8.2267,-6.025,0.5
430.78,1115.1,144.68,-11.222,-9.1974,-6.8163,0.5
432.59,1115.1,145.25,-10.224,-8.9625,-7.188,0.5
430.43,1118,145.53,-4.2372,-3.4185,-3.4962,0.5
